唉,"āi","alas","hsk5"
爱心,"àixīn","love","hsk5"
安慰,"ānwèi","comfort","hsk5"
岸,"àn","bank","hsk5"
熬夜,"áoyè","stay up late","hsk5"
包含,"bāohán","Contain","hsk5"
宝贵,"bǎoguì","valuable","hsk5"
保存,"bǎocún","Preservation","hsk5"
保留,"bǎoliú","Retain","hsk5"
报到,"bàodào","register,check in","hsk5"
报告,"bàogào","Presentation","hsk5"
悲观,"bēiguān","Pessimism","hsk5"
背景,"bèijǐng","background","hsk5"
被子,"bèizi","quilt","hsk5"
本科,"běnkē","Undergraduate","hsk5"
本领,"běnlǐng","ability","hsk5"
比例,"bǐlì","Proportion","hsk5"
必然,"bìrán","Inevitable","hsk5"
必要,"bìyào","necessary","hsk5"
鞭炮,"biānpào","firecracker","hsk5"
辩论,"biànlùn","Debate","hsk5"
标志,"biāozhì","sign","hsk5"
表达,"biǎodá","Expression","hsk5"
表面,"biǎomiàn","surface","hsk5"
表情,"biǎoqíng","Expression","hsk5"
表现,"biǎoxiàn","performance","hsk5"
冰激凌,"bīngjīlíng","ice cream","hsk5"
玻璃,"bōli","Glass","hsk5"
博物馆,"bówùguǎn","Museum","hsk5"
不断,"búduàn","Constantly","hsk5"
不见得,"bújiàndé","Not necessarily","hsk5"
不耐烦,"búnàifán","Impatient","hsk5"
补充,"bǔchōng","supplement","hsk5"
不然,"bùrán","otherwise","hsk5"
不足,"bùzú","insufficient","hsk5"
部门,"bùmén","department","hsk5"
财产,"cáichǎn","property","hsk5"
踩,"cǎi","step on","hsk5"
采取,"cǎiqǔ","take, adopt","hsk5"
参考,"cānkǎo","Reference resources","hsk5"
操场,"cāochǎng","Playground","hsk5"
插,"chā","insert","hsk5"
叉子,"chāzi","Fork","hsk5"
拆,"chāi","Remove","hsk5"
产生,"chǎnshēng","produce","hsk5"
常识,"chángshí","common sense","hsk5"
潮湿,"cháoshī","damp","hsk5"
吵,"chǎo","Noisy","hsk5"
车库,"chēkù","Garage","hsk5"
彻底,"chèdǐ","thorough","hsk5"
趁,"chèn","while","hsk5"
称,"chēng","call","hsk5"
称赞,"chēngzàn","Praise","hsk5"
承担,"chéngdān","bear","hsk5"
承受,"chéngshòu","bear","hsk5"
程序,"chéngxù","program","hsk5"
成立,"chénglì","establish","hsk5"
成人,"chéngrén","adult","hsk5"
成语,"chéngyǔ","idiom","hsk5"
诚恳,"chéngkěn","sincere","hsk5"
持续,"chíxù","Continued","hsk5"
尺子,"chǐzi","Ruler","hsk5"
冲,"chōng","punching","hsk5"
充分,"chōngfèn","To the full","hsk5"
重复,"chóngfù","repeat","hsk5"
宠物,"chǒngwù","Pet","hsk5"
抽象,"chōuxiàng","abstract","hsk5"
丑,"chǒu","ugly","hsk5"
出口,"chūkǒu","Exit","hsk5"
出示,"chūshì","show","hsk5"
出席,"chūxí","Attend","hsk5"
除非,"chúfēi","Unless","hsk5"
除夕,"chúxī","the New Year's Eve","hsk5"
处理,"chǔlǐ","Handle","hsk5"
传染,"chuánrǎn","contagion","hsk5"
传统,"chuántǒng","tradition","hsk5"
闯,"chuǎng","rush; dash","hsk5"
吹,"chuī","blow","hsk5"
此外,"cǐwài","in addition","hsk5"
次要,"cìyào","secondary","hsk5"
匆忙,"cōngmáng","hastily","hsk5"
从而,"cóng'ér","thus","hsk5"
从前,"cóngqián","before","hsk5"
粗糙,"cūcāo","rough","hsk5"
醋,"cù","vinegar","hsk5"
促使,"cùshǐ","Urge","hsk5"
措施,"cuòshī","Measures","hsk5"
打工,"dǎgōng","Work","hsk5"
大厦,"dàshà","Large building","hsk5"
大象,"dàxiàng","Elephant","hsk5"
代表,"dàibiǎo","representative","hsk5"
待遇,"dàiyù","treatment","hsk5"
单调,"dāndiào","monotonous","hsk5"
单位,"dānwèi","Company","hsk5"
担任,"dānrèn","To serve as","hsk5"
耽误,"dānwu","delay","hsk5"
淡,"dàn","light","hsk5"
倒霉,"dǎoméi","fall on evil days","hsk5"
道理,"dàolǐ","truth","hsk5"
登记,"dēngjì","register","hsk5"
等于,"děngyú","Be equal to","hsk5"
滴,"dī","drop","hsk5"
敌人,"dírén","Enemy","hsk5"
递,"dì","Delivery","hsk5"
地毯,"dìtǎn","Carpet","hsk5"
地震,"dìzhèn","earthquake","hsk5"
电池,"diànchí","Battery","hsk5"
顶,"dǐng","top","hsk5"
冻,"dòng","freeze","hsk5"
动画片,"dònghuàpiàn","Cartoon","hsk5"
逗,"dòu","Funny","hsk5"
独特,"dútè","unique","hsk5"
度过,"dùguò","Spend","hsk5"
对比,"duìbǐ","Contrast","hsk5"
对待,"duìdài","treat","hsk5"
对手,"duìshǒu","Opponent","hsk5"
吨,"dūn","ton","hsk5"
顿,"dùn","Meal","hsk5"
